0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:33:29 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:33:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:35:02 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:35:02 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7711
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:35:02 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:35:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:38:45 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12152
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:38:45 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:39:04 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12152
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:39:06 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12152
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:39:11 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:39:11 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:39:26 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:41:45 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:41:45 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7592
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:42:29 +0900] "POST /WebProject3/jspCY/Netflix02_login_action.jsp HTTP/1.1" 500 2156
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:42:33 +0900] "POST /WebProject3/jspCY/Netflix02_login_action.jsp HTTP/1.1" 500 2156
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:42:57 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:42:57 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:43:27 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:44:04 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:44:04 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7494
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:44:05 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:44:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:44:20 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:27 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:27 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7494
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:27 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:56 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:56 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7494
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:56 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:45:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:48:47 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12146
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:48:47 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:53:43 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:57:02 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12126
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:57:02 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7508
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:57:10 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12126
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:57:10 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7508
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:57:10 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:57:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:58:03 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12126
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:58:03 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7508
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:58:03 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:58:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:59:03 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12126
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:59:03 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:00:36 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12126
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:00:36 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:13:29 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12238
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:13:29 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:13:30 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:13:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:15:38 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12632
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:15:38 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:15:39 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:15:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:16:42 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12694
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:16:42 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:16:42 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:16:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:01 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12693
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:01 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:01 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:42 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12693
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:42 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7526
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:42 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:02:18:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
